index,selector,name,short_name,id_number,director,img
53,g119,Project 03160 Raptor class patrol boat,Патрульні катери проєкту 03160,,,Project_03160_Raptor_class_patrol_boat.jpg
54,g79,Orlan-10 reconnaissance UAV,БПЛА «Орлан»,,,Orlan-10_reconnaissance_UAV.jpg
55,g9,Project 11770 Serna class landing craft,Десантні катери проєкту 11771,,,Project_11770_Serna_class_landing_craft.png
,g129,Project 11770  Serna class landing craft,Десантні катери проєкту 11771,,,Project_11770_Serna_class_landing_craft.png
56,g293,"LTD ""CST""",Cst,1841015504,Zaharov Aleksandr Vyacheslavovich,ZAHAROV_ALEKSANDR_V.jpg
57,g527,"JSC ""CENTRAL RESEARCH INSTITUTE ""BUREVESTNIK""",Burevestnik,5259075468,"Zakamennyh Georgij Ivanovich
",ZAKAMENNYH_GEORGIJ.jpg 
58,g537,"JSC ""MACHINE BUILDING COMPANY ""VITYAZ""",Vityaz,0261013879,Arslanov Irek Nailovich,ARSLANOV_IREK.jpg
59,g553,"JSC ""OMSKIJ ZAVOD TRANSPORTNOGO MASHINOSTROENIYA""",Omsktransmash,5505204171,"Lobov Igor Eduardovich
",LOBOV_IGOR.jpg
60,g549,"JSC ""URALSKIJ ZAVOD TRANSPORTNOGO MASHINOSTROENIYA""",Uraltransmash,6659190900,"Semizorov Dmitrij Yurevich
",SEMIZOROV_DMITRIJ.jpg
61,g445,"JSC ""KAZANSKIJ VERTOLETNYJ ZAVOD""",Kazanskij Vertoletnyj Zavod,1656002652,Ginsburg Vladimir Srulevich,GINSBURG_Vladimir.jpg
62,g469,"JSC ""ULAN-UDENSKIJ AVIACIONNYJ ZAVOD""
",Ulan-Udenskij Aviacionnyj Zavod,0323018510,Kozlov Aleksej Vladimirovich,KOZLOV_ALEKSEJ.jpg
63,g573,"JSC ""NATIONAL HELICOPTER BUILDING CENTER NAMED AFTER M.L. MIL AND N.I. KAMOV""",National Helicopter Center Mil And Kamov,7718016666,Korotkevich Mihail Zaharovich,KOROTKEVICH_Mikhail.jpg
64,g453,"JSC ""ARSENIEV AVIATION COMPANY ""PROGRESS"" NAMED AFTER N.I. SAZYKIN""",Progress,2501002394,Palcev Denis Evgenevich,PALCEV_DENIS.jpg 
65,g435,"ROSTOV HELICOPTER PRODUCTION COMPLEX PJSC ""ROSTVERTOL"" NAMED AFTER B.N.SLYUSARY",Rostvertol,6161021690,Motrenko Petr Danilovich,MOTRENKO_PETR.jpg
66,g307,"JSC ""BRYANSKIJ ELEKTROMEHANICHESKIJ ZAVOD""",Bryanskij Elektromehanicheskij Zavod,3255517577,Zrelov Leonid Viktorovich,no_photo.png
67,g255,"JSC ""BRYANSKIJ AVTOMOBILNYJ ZAVOD""",Bryanskij Avtomobilnyj Zavod,3255502838,Sdobnov Aleksej Borisovich,no_photo.png
68,g259,"JSC ""NAUCHNO-ISSLEDOVATELSKIJ INSTITUT PRIBOROSTROENIYA NAMED AFTER V.V. TIKHOMIROV""",Institut Priborostroeniya Named After V.V. Tikhomirov,5013045054,Medunitsin Nikolai Borisovich,MEDUNITSIN_Nikolai.jpg
69,g263,"JSC ""IZHEVSK ELECTROMECHANICAL PLANT ""KUPOL""",Kupol,1831083343,Ziyatdinov Fanil Gazisovich,ZIYATDINOV_Fanil.jpg
70,g271,"JSC ""RESEARCH DESIGN BYURO ""NOVATOR""",Novator,6673092045,Abdrakhmanov Faryd Khabybullovych,ABDRAKHMANOV_Faryd.jpg
71,g267,"PJSC ""SCIENTIFIC AND PRODUCTION ASSOCIATION ""STRELA""",Strela,7103028233,Chapkin Vyacheslav Vyacheslavovich,CHAPKIN_Vyacheslav.jpg
73,g275,"JSC ""ULYANOVSKIJ MEHANICHESKIJ ZAVOD""",Ulyanovskij Mehanicheskij Zavod,7303026762,Lapin Vyacheslav Viktorovich,LAPIN_Vyacheslav.jpg
74,g67,"JSC ""VOTKINSKYI ZAVOD""",Votkinskyi Zavod,1828020110,Churbanov Igor Yurievich,CHURBANOV_Igor.jpg
75,g335,"JSC ""SCIENTIFIC AND PRODUCTION ASSOCIATION ""SPLAV"" NAMED AFTER A.N. GANICHEV""",Splav,7105515987,Smirnov Alexander Vladimirovich,SMIRNOV_Alexander.jpg
