index,selector,name,short_name,id_number,director,img
57,g527,"АТ ""ЦЕНТРАЛЬНИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ""БУРЕВІСНИК""",БУРЕВІСНИК,5259075468,"Закамєнних Георгій
Іванович",ZAKAMENNYH_GEORGIJ.jpg 
58,g537,"АТ ""МАШИНОБУДІВНА КОМПАНІЯ ""ВІТЯЗЬ""",ВІТЯЗЬ,0261013879,"Арсланов Ірек
Наїлович",ARSLANOV_IREK.jpg
59,g553,"АТ ""ОМСЬКИЙ ЗАВОД ТРАНСПОРТНОГО МАШИНОБУДУВАННЯ""",ОМСЬКТРАНСМАШ,5505204171,"Лобов Ігор
Едуардович",LOBOV_IGOR.jpg
60,g549,"АТ ""УРАЛЬСЬКИЙ ЗАВОД ТРАНСПОРТНОГО МАШИНОБУДУВАННЯ""",УРАЛТРАНСМАШ,6659190900,"Семизоров Дмитро
Юрійович",SEMIZOROV_DMITRIJ.jpg
61,g445,"АТ ""КАЗАНСЬКИЙ ВЕРТОЛІТНИЙ ЗАВОД""",КАЗАНСЬКИЙ ВЕРТОЛІТНИЙ ЗАВОД,1656002652,"Гінсбург Володимир
Срульевич",GINSBURG_Vladimir.jpg
62,g469,"АТ ""УЛАН-УДЕНСЬКИЙ АВІАЦІЙНИЙ ЗАВОД""",УЛАН-УДЕНСЬКИЙ АВІАЦІЙНИЙ ЗАВОД,0323018510,"Козлов Олексій
Володимирович",KOZLOV_ALEKSEJ.jpg
63,g573,"АТ ""НАЦІОНАЛЬНИЙ ЦЕНТР ВЕРТОЛЬОТОБУДУВАННЯ ІМ. М. Л. МІЛЯ І М. І. КАМОВА""",НАЦІОНАЛЬНИЙ ЦЕНТР ВЕРТОЛЬОТОБУДУВАННЯ ІМ. МІЛЯ І КАМОВА,7718016666,"Короткевич Михайло
Захарович",KOROTKEVICH_Mikhail.jpg
64,g453,"АТ ""АРСЕНІЇВСЬКА АВІАЦІЙНА КОМПАНІЯ ""ПРОГРЕС"" ІМ. М. І. САЗИКІНА""",ПРОГРЕС,2501002394,"Пальцев Денис
Євгенійович",PALCEV_DENIS.jpg 
65,g435,"РОСТОВСЬКИЙ ВЕРТОЛІТНИЙ ВИРОБНИЧИЙ КОМПЛЕКС ПАТ ""РОСТВЕРТОЛ"" ІМЕНІ Б.М.СЛЮСАРЯ",РОСТВЕРТОЛ,6161021690,"Мотренко Петро
Данилович",MOTRENKO_PETR.jpg
66,g307,"АТ ""БРЯНСЬКИЙ ЕЛЕКТРОМЕХАНІЧНИЙ ЗАВОД""",БРЯНСЬКИЙ ЕЛЕКТРОМЕХАНІЧНИЙ ЗАВОД,3255517577,Зрелов Леонід Вікторович,no_photo.png
67,g255,"АТ ""БРЯНСЬКИЙ АВТОМОБІЛЬНИЙ ЗАВОД""",БРЯНСЬКИЙ АВТОМОБІЛЬНИЙ ЗАВОД,3255502838,Сдобнов Олексій Борисович,no_photo.png
68,g259,"АТ ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ПРИЛАДОБУДУВАННЯ ІМЕНІ В.В. ТИХОМИРОВА""",ІНСТИТУТ ПРИЛАДОБУДУВАННЯ ІМЕНІ В.В. ТИХОМИРОВА,5013045054,"
Медуніцин Микола Борисович",MEDUNITSIN_Nikolai.jpg
69,g263,"АТ ""ІЖЕВСЬКИЙ ЕЛЕКТРОМЕХАНІЧНИЙ ЗАВОД ""КУПОЛ""",КУПОЛ,1831083343,"
Зіятдинов Фаніл Газісович",ZIYATDINOV_Fanil.jpg
70,g271,"АТ ""ДОСЛІДНЕ КОНСТРУКТОРСЬКЕ БЮРО ""НОВАТОР""",НОВАТОР,6673092045,"
Абдрахманов Фарід Хабібуллович",ABDRAKHMANOV_Faryd.jpg
71,g267,"ПАТ ""НАУКОВО-ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""СТРІЛА""",СТРІЛА,7103028233,Чапкін В'ячеслав В'ячеславович,CHAPKIN_Vyacheslav.jpg
73,g275,"АТ ""УЛЬЯНІВСЬКИЙ МЕХАНІЧНИЙ ЗАВОД""",УЛЬЯНІВСЬКИЙ МЕХАНІЧНИЙ ЗАВОД,7303026762,Лапін Вячеслав Вікторович,LAPIN_Vyacheslav.jpg
74,g67,"АТ ""ВОТКІНСКИЙ ЗАВОД""",ВОТКІНСКИЙ ЗАВОД,1828020110,Чурбанов Ігор Юрійович,CHURBANOV_Igor.jpg
75,g335,"АТ ""НАУКОВО-ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""СПЛАВ"" ІМЕНІ О.М. ГАНІЧОВА""",СПЛАВ,7105515987,"Смирнов Олександр Володимирович
",SMIRNOV_Alexander.jpg
76,g501,"АТ ""НАУКОВО-ВИРОБНИЧА КОРПОРАЦІЯ ""КОНСТРУКТОРСЬКЕ БЮРО МАШИНОБУДУВАННЯ""",КОНСТРУКТОРСЬКЕ БЮРО МАШИНОБУДУВАННЯ,5022039177,"Пітіков Сергій
Вікторович",PITIKOV_Sergey.jpg
77,g497,"АТ ""КОНСТРУКТОРСЬКЕ БЮРО ПРИЛАДОБУДУВАННЯ ІМ. АКАДЕМІКА А.Г. ШИПУНОВА""",КОНСТРУКТОРСЬКЕ БЮРО ПРИЛАДОБУДУВАННЯ,7105514574,"Конопльов Дмитро
Володимирович до 22.07.2022",Konoplev_Dmitrij.jpg
78,g483,"АТ ""КОНСТРУКТОРСЬКЕ БЮРО ""ТОЧНОГО МАШИНОБУДУВАННЯ ІМЕНІ О. Е. НУДЕЛЬМАНА""",КОНСТРУКТОРСЬКЕ БЮРО ТОЧНОГО МАШИНОБУДУВАННЯ,7728789425,Ібрагімов Дмитро Маратович,IBRAGIMOV_DMITRIJ.jpg
