index,level6,level6_4,level5_0,level5,level5_2,level5_3,level5_4,level4_0,level4,level4_2,level4_3,level4_4,level3_0,level3,level3_2,level3_3,level3_4,level2_0,level2,level2_2,level2_3,level2_4,cluster
10,Mi-35 helicopter,Mi-35M_attack_helicopter.jpg,"ROSTOV HELICOPTER PRODUCTION COMPLEX PJSC ""ROSTVERTOL"" NAMED AFTER B.N.SLYUSARY",ROSTVERTOL,6161021690,MOTRENKO PETR DANILOVICH,MOTRENKO_PETR.jpg,"JSC ""VERTOLETY ROSSII""",VERTOLETY ROSSII,7731559044,KOLESOV NYKOLAI ALEKSANDROVYCH,KOLESOV_Nykolai.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
12,"Command post ""Krasukha-4""",1RL257_Krasukha-4_(command post).jpg,"JSC ""BRYANSKIJ ELEKTROMEHANICHESKIJ ZAVOD""",BRYANSKIJ ELEKTROMEHANICHESKIJ ZAVOD,3255517577,ZRELOV LEONID VIKTOROVICH,no_photo.png,RADIO ELECTRONIC TECHNOLOGY CONCERN JSC,RADIO ELECTRONIC TECHNOLOGY ,7703695246,PAN OLEKSANDR VOLODIMIROVICH,PAN_Aleksandr.jpeg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
13,"Carriages for ""Buk-M2""","Buk_M2.jpg

","JSC ""BRYANSKIJ AVTOMOBILNYJ ZAVOD""",BRYANSKIJ AVTOMOBILNYJ ZAVOD,3255502838,SDOBNOV ALEKSEJ BORISOVICH,no_photo.png,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
14,"Carriages for ""Buk-M3""","
Buk_M3.jpg","JSC ""BRYANSKIJ AVTOMOBILNYJ ZAVOD""",BRYANSKIJ AVTOMOBILNYJ ZAVOD,3255502838,SDOBNOV ALEKSEJ BORISOVICH,no_photo.png,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
15,"SAMs ""Buk-M3""","
Buk_M3.jpg","JSC ""NAUCHNO-ISSLEDOVATELSKIJ INSTITUT PRIBOROSTROENIYA NAMED AFTER V.V. TIKHOMIROV""",INSTITUT PRIBOROSTROENIYA NAMED AFTER V.V. TIKHOMIROV,5013045054,MEDUNITSIN NIKOLAI BORISOVICH,MEDUNITSIN_Nikolai.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
16,"SAMs ""Buk-M2""","Buk_M2.jpg

","JSC ""NAUCHNO-ISSLEDOVATELSKIJ INSTITUT PRIBOROSTROENIYA NAMED AFTER V.V. TIKHOMIROV""",INSTITUT PRIBOROSTROENIYA NAMED AFTER V.V. TIKHOMIROV,5013045054,MEDUNITSIN NIKOLAI BORISOVICH,MEDUNITSIN_Nikolai.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
17,"SAMs ""Tor-M2"" ",9K332_Tor-M2.jpg,"JSC ""IZHEVSK ELECTROMECHANICAL PLANT ""KUPOL""",KUPOL,1831083343,ZIYATDINOV FANIL GAZISOVICH,ZIYATDINOV_Fanil.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
18,"Rockets ""Kalibr""",kalibr.jpg,"JSC ""RESEARCH DESIGN BYURO ""NOVATOR""",NOVATOR,6673092045,ABDRAKHMANOV FARYD KHABYBULLOVYCH,ABDRAKHMANOV_Faryd.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
19,"Radars ""SNAR-10M1""","SNAR-10M1.jpg
","PJSC ""SCIENTIFIC AND PRODUCTION ASSOCIATION ""STRELA""",STRELA,7103028233,CHAPKIN VYACHESLAV VYACHESLAVOVICH,CHAPKIN_Vyacheslav.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
20,Zoopark-1M radar complex,"
Zoopark-1M.jpg","PJSC ""SCIENTIFIC AND PRODUCTION ASSOCIATION ""STRELA""",STRELA,7103028233,CHAPKIN VYACHESLAV VYACHESLAVOVICH,CHAPKIN_Vyacheslav.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
